Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency_[0],Recommendation_Helpfulness,Rating_Accuracy,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,id
"2023/06/04 9:10:51 PM GMT+5:30",23,Female,"Few times a month","Beauty and Personal Care;Clothing and Fashion;others",No,"Few times a month",Keyword,"Multiple pages",1,Maybe,Rarely,others,Rarely,Yes,Heavily,Yes,3,Sometimes,1,1,"Competitive prices","Customer service responsiveness",2
"2023/06/06 4:46:25 PM GMT+5:30",38,Female,"Once a month","Beauty and Personal Care;Home and Kitchen",No,"Few times a month",Keyword,"Multiple pages",2,Yes,Often,"Changed my mind or no longer need the item",Never,Yes,Moderately,Sometimes,4,Sometimes,4,2,"Wide product selection","Product quality and accuracy",7
"2023/06/05 4:46:52 PM GMT+5:30",23,Female,"Less than once a month","Home and Kitchen",Yes,"Few times a month",Keyword,"Multiple pages",1,Yes,Sometimes,"Changed my mind or no longer need the item",Rarely,No,Heavily,Yes,3,Yes,2,2,"Wide product selection","Product quality and accuracy",9
"2023/06/04 9:29:59 PM GMT+5:30",23,Female,"Less than once a month","Beauty and Personal Care",No,"Few times a month",categories,"Multiple pages",4,Yes,Sometimes,"Found a better price elsewhere",Rarely,No,Occasionally,Sometimes,3,Yes,3,5,"Wide product selection","Reducing packaging waste",11
"2023/06/06 6:32:00 PM GMT+5:30",38,Female,"Less than once a month","Beauty and Personal Care;Clothing and Fashion;Home and Kitchen",No,"Few times a month",categories,"First page",3,No,Sometimes,"Found a better price elsewhere",Rarely,No,Moderately,No,4,No,4,2,"Product recommendations","Shipping speed and reliability",14
"2023/06/04 9:48:15 PM GMT+5:30",24,Female,"Less than once a month","Clothing and Fashion",Yes,"Few times a month",Keyword,"Multiple pages",4,Yes,Sometimes,"Found a better price elsewhere",Rarely,No,Occasionally,Yes,4,Yes,5,4,"Competitive prices","Reducing packaging waste",17
"2023/06/04 2:30:44 PM GMT+5:30",23,Female,"Once a month","Clothing and Fashion",Yes,"Few times a month",Keyword,"Multiple pages",1,Yes,Often,"High shipping costs",Rarely,No,Heavily,Yes,2,Sometimes,3,2,"Wide product selection","Reducing packaging waste",20
"2023/06/04 5:13:00 PM GMT+5:30",24,Female,"Once a month","Beauty and Personal Care;Clothing and Fashion;others",Sometimes,"Few times a month",Keyword,"First page",5,Maybe,Sometimes,"Found a better price elsewhere",Sometimes,Yes,Heavily,Yes,3,Sometimes,3,4,"Competitive prices","Product quality and accuracy",22
"2023/06/04 5:28:06 PM GMT+5:30",22,Female,"Less than once a month","Beauty and Personal Care;Clothing and Fashion",Yes,"Few times a month",Filter,"Multiple pages",1,Yes,Sometimes,"High shipping costs",Rarely,No,Heavily,Yes,4,Yes,2,2,"Competitive prices","Product quality and accuracy",23
"2023/06/05 12:05:20 AM GMT+5:30",26,Female,"Less than once a month",others,Yes,"Few times a month",Keyword,"Multiple pages",1,Yes,Sometimes,"High shipping costs",Sometimes,Yes,Moderately,Yes,1,Yes,2,2,"Competitive prices","Product quality and accuracy",47
